SHOW,SEASON,EPISODE,UMAP1,UMAP2,SIL_SCORE,SUBSET,DISRUPTION,SHOW_LABEL
asip,1.0,1.0,-0.12169506,1.4695934,0.12552397,Emotion,RAW,Always Sunny
asip,1.0,2.0,-1.4112363,1.4040867,0.12552397,Emotion,RAW,Always Sunny
asip,1.0,3.0,-0.6815929,0.4862064,0.12552397,Emotion,RAW,Always Sunny
asip,1.0,4.0,-0.37248695,-1.7534957,0.12552397,Emotion,RAW,Always Sunny
asip,1.0,5.0,0.3106966,-1.1340284,0.12552397,Emotion,RAW,Always Sunny
asip,1.0,6.0,-0.49158612,-1.5667944,0.12552397,Emotion,RAW,Always Sunny
asip,1.0,7.0,-0.9135466,-0.47727177,0.12552397,Emotion,RAW,Always Sunny
asip,2.0,1.0,-1.4124278,-0.14167604,0.12552397,Emotion,RAW,Always Sunny
asip,2.0,2.0,-1.7612553,0.5866364,0.12552397,Emotion,RAW,Always Sunny
asip,2.0,3.0,0.1690714,-1.1211817,0.12552397,Emotion,RAW,Always Sunny
asip,2.0,4.0,0.18860014,-0.38089272,0.12552397,Emotion,RAW,Always Sunny
asip,2.0,5.0,-1.6483287,1.0239826,0.12552397,Emotion,RAW,Always Sunny
asip,2.0,6.0,-1.4884113,1.3572558,0.12552397,Emotion,RAW,Always Sunny
asip,2.0,7.0,-1.4438187,0.6917814,0.12552397,Emotion,RAW,Always Sunny
asip,2.0,8.0,-1.6888046,1.1622882,0.12552397,Emotion,RAW,Always Sunny
asip,2.0,10.0,-1.3808134,-0.008472374,0.12552397,Emotion,RAW,Always Sunny
asip,3.0,1.0,-1.6138111,0.31516653,0.12552397,Emotion,RAW,Always Sunny
asip,3.0,3.0,-1.2126946,-0.48780805,0.12552397,Emotion,RAW,Always Sunny
asip,3.0,4.0,-1.7755643,0.79297966,0.12552397,Emotion,RAW,Always Sunny
asip,3.0,6.0,-1.3347646,0.5284901,0.12552397,Emotion,RAW,Always Sunny
asip,3.0,10.0,-1.4606593,0.7322573,0.12552397,Emotion,RAW,Always Sunny
asip,3.0,11.0,-1.390637,0.69978994,0.12552397,Emotion,RAW,Always Sunny
asip,3.0,12.0,-1.7657908,0.5910833,0.12552397,Emotion,RAW,Always Sunny
asip,3.0,14.0,-1.784008,0.7850373,0.12552397,Emotion,RAW,Always Sunny
asip,4.0,1.0,-1.6019382,0.7512437,0.12552397,Emotion,RAW,Always Sunny
asip,4.0,2.0,-1.7174587,1.1065744,0.12552397,Emotion,RAW,Always Sunny
asip,4.0,3.0,1.1651165,-1.2514817,0.12552397,Emotion,RAW,Always Sunny
asip,4.0,4.0,0.29546776,-1.1174082,0.12552397,Emotion,RAW,Always Sunny
asip,4.0,5.0,-1.4063138,-0.0032753956,0.12552397,Emotion,RAW,Always Sunny
asip,4.0,8.0,-1.717229,1.0209084,0.12552397,Emotion,RAW,Always Sunny
asip,4.0,9.0,-1.418313,0.702786,0.12552397,Emotion,RAW,Always Sunny
asip,4.0,10.0,-0.6062453,-1.4001521,0.12552397,Emotion,RAW,Always Sunny
asip,4.0,13.0,0.36906597,-0.14712687,0.12552397,Emotion,RAW,Always Sunny
asip,5.0,1.0,-0.015823755,1.6434566,0.12552397,Emotion,RAW,Always Sunny
asip,5.0,2.0,-1.6767461,0.81462353,0.12552397,Emotion,RAW,Always Sunny
asip,5.0,3.0,-1.2881345,-0.30563676,0.12552397,Emotion,RAW,Always Sunny
asip,5.0,4.0,-1.6630129,0.4098845,0.12552397,Emotion,RAW,Always Sunny
asip,5.0,5.0,-1.6850227,1.1173275,0.12552397,Emotion,RAW,Always Sunny
asip,5.0,6.0,0.13378453,-0.46111178,0.12552397,Emotion,RAW,Always Sunny
asip,5.0,7.0,0.16454637,-0.39083678,0.12552397,Emotion,RAW,Always Sunny
asip,5.0,8.0,0.17903143,-0.5919335,0.12552397,Emotion,RAW,Always Sunny
asip,5.0,9.0,-1.6434641,0.35475722,0.12552397,Emotion,RAW,Always Sunny
asip,5.0,10.0,0.18134102,-0.37841702,0.12552397,Emotion,RAW,Always Sunny
asip,5.0,11.0,0.71338636,-1.3051475,0.12552397,Emotion,RAW,Always Sunny
asip,5.0,12.0,0.41423404,0.018260434,0.12552397,Emotion,RAW,Always Sunny
asip,6.0,1.0,-0.2508602,0.64636177,0.12552397,Emotion,RAW,Always Sunny
asip,6.0,2.0,-1.3210785,-0.14063391,0.12552397,Emotion,RAW,Always Sunny
asip,6.0,4.0,0.37511292,-0.20803449,0.12552397,Emotion,RAW,Always Sunny
asip,6.0,5.0,-1.5960809,1.1420722,0.12552397,Emotion,RAW,Always Sunny
asip,6.0,6.0,-1.6481353,0.7745544,0.12552397,Emotion,RAW,Always Sunny
asip,6.0,7.0,-1.5539733,1.164675,0.12552397,Emotion,RAW,Always Sunny
asip,6.0,8.0,0.3853701,0.32166138,0.12552397,Emotion,RAW,Always Sunny
asip,6.0,9.0,-1.6147848,0.46400082,0.12552397,Emotion,RAW,Always Sunny
asip,6.0,10.0,-1.5439117,0.87395877,0.12552397,Emotion,RAW,Always Sunny
asip,6.0,11.0,-1.3903748,0.48073143,0.12552397,Emotion,RAW,Always Sunny
asip,6.0,12.0,-1.1330644,0.2580649,0.12552397,Emotion,RAW,Always Sunny
asip,6.0,13.0,-1.6238194,0.4710765,0.12552397,Emotion,RAW,Always Sunny
asip,6.0,14.0,0.16989653,-0.94079506,0.12552397,Emotion,RAW,Always Sunny
asip,7.0,1.0,-1.6125354,0.72868925,0.12552397,Emotion,RAW,Always Sunny
asip,7.0,2.0,-0.5157358,0.7221601,0.12552397,Emotion,RAW,Always Sunny
asip,7.0,3.0,-1.770237,0.57261914,0.12552397,Emotion,RAW,Always Sunny
asip,7.0,4.0,-1.4094064,0.19009718,0.12552397,Emotion,RAW,Always Sunny
asip,7.0,5.0,-1.1839917,0.48126522,0.12552397,Emotion,RAW,Always Sunny
asip,7.0,6.0,-1.748871,0.7423113,0.12552397,Emotion,RAW,Always Sunny
asip,7.0,7.0,0.14364439,-0.49965432,0.12552397,Emotion,RAW,Always Sunny
asip,7.0,8.0,-1.601948,1.1583288,0.12552397,Emotion,RAW,Always Sunny
asip,7.0,9.0,-1.7598125,0.6014048,0.12552397,Emotion,RAW,Always Sunny
asip,7.0,10.0,-1.7071798,0.83508676,0.12552397,Emotion,RAW,Always Sunny
asip,7.0,11.0,-1.6605619,0.91351575,0.12552397,Emotion,RAW,Always Sunny
asip,7.0,12.0,-1.5099733,0.9725453,0.12552397,Emotion,RAW,Always Sunny
asip,8.0,1.0,-1.4383267,0.69991636,0.12552397,Emotion,RAW,Always Sunny
asip,8.0,2.0,-1.6633368,0.41489246,0.12552397,Emotion,RAW,Always Sunny
asip,8.0,3.0,-0.99888784,0.76855195,0.12552397,Emotion,RAW,Always Sunny
asip,8.0,4.0,-1.152296,0.7579699,0.12552397,Emotion,RAW,Always Sunny
asip,8.0,5.0,-1.5878415,0.28583825,0.12552397,Emotion,RAW,Always Sunny
asip,8.0,6.0,-1.3584279,-0.1594405,0.12552397,Emotion,RAW,Always Sunny
asip,8.0,7.0,0.71538657,-1.4797843,0.12552397,Emotion,RAW,Always Sunny
asip,8.0,8.0,-1.4881665,1.2613673,0.12552397,Emotion,RAW,Always Sunny
asip,8.0,9.0,0.7495296,0.45020217,0.12552397,Emotion,RAW,Always Sunny
asip,8.0,10.0,-1.7289449,1.0985736,0.12552397,Emotion,RAW,Always Sunny
asip,9.0,2.0,-1.7755144,0.65441734,0.12552397,Emotion,RAW,Always Sunny
asip,9.0,3.0,0.38938934,-0.1666331,0.12552397,Emotion,RAW,Always Sunny
asip,9.0,4.0,0.48230565,-1.192589,0.12552397,Emotion,RAW,Always Sunny
asip,9.0,5.0,0.37961856,-0.19410779,0.12552397,Emotion,RAW,Always Sunny
asip,9.0,6.0,1.4146208,0.6785852,0.12552397,Emotion,RAW,Always Sunny
asip,9.0,7.0,0.18212964,-1.5193257,0.12552397,Emotion,RAW,Always Sunny
asip,9.0,8.0,0.17686838,-0.46733817,0.12552397,Emotion,RAW,Always Sunny
asip,9.0,10.0,-1.5877775,0.8966009,0.12552397,Emotion,RAW,Always Sunny
asip,10.0,1.0,0.2331308,-0.7482377,0.12552397,Emotion,RAW,Always Sunny
asip,10.0,4.0,-1.5836095,1.1339761,0.12552397,Emotion,RAW,Always Sunny
asip,10.0,6.0,0.26524746,0.6567608,0.12552397,Emotion,RAW,Always Sunny
asip,10.0,8.0,-1.7070695,0.91812843,0.12552397,Emotion,RAW,Always Sunny
asip,10.0,9.0,-1.6317997,0.8370636,0.12552397,Emotion,RAW,Always Sunny
asip,10.0,10.0,-1.7190484,1.0431603,0.12552397,Emotion,RAW,Always Sunny
asip,11.0,1.0,0.19996232,-0.37811837,0.12552397,Emotion,RAW,Always Sunny
asip,11.0,2.0,0.38989204,-1.5829163,0.12552397,Emotion,RAW,Always Sunny
asip,11.0,3.0,-0.904375,-0.4629565,0.12552397,Emotion,RAW,Always Sunny
asip,11.0,4.0,-0.27832296,1.5528245,0.12552397,Emotion,RAW,Always Sunny
asip,11.0,5.0,0.3272092,-1.1353852,0.12552397,Emotion,RAW,Always Sunny
asip,11.0,6.0,-1.5239418,0.9479765,0.12552397,Emotion,RAW,Always Sunny
asip,11.0,7.0,0.3538868,-0.22964212,0.12552397,Emotion,RAW,Always Sunny
asip,12.0,1.0,-0.5152078,-0.50927716,0.12552397,Emotion,RAW,Always Sunny
asip,12.0,2.0,-1.1109853,0.76383126,0.12552397,Emotion,RAW,Always Sunny
asip,12.0,3.0,0.79250205,0.5116064,0.12552397,Emotion,RAW,Always Sunny
asip,12.0,4.0,0.32532898,-0.5358368,0.12552397,Emotion,RAW,Always Sunny
asip,12.0,5.0,-1.5701813,0.9031224,0.12552397,Emotion,RAW,Always Sunny
asip,12.0,6.0,-1.6450824,0.361871,0.12552397,Emotion,RAW,Always Sunny
asip,12.0,7.0,-1.301684,0.047223333,0.12552397,Emotion,RAW,Always Sunny
asip,12.0,8.0,-1.337839,1.2030011,0.12552397,Emotion,RAW,Always Sunny
asip,12.0,9.0,0.1992399,-0.84736603,0.12552397,Emotion,RAW,Always Sunny
asip,12.0,10.0,-1.3020084,-0.011728071,0.12552397,Emotion,RAW,Always Sunny
asip,13.0,1.0,0.38194057,0.33543274,0.12552397,Emotion,RAW,Always Sunny
asip,13.0,2.0,0.37158576,-0.20646939,0.12552397,Emotion,RAW,Always Sunny
asip,13.0,3.0,0.025557451,0.90176576,0.12552397,Emotion,RAW,Always Sunny
asip,13.0,4.0,-1.7447102,0.63664585,0.12552397,Emotion,RAW,Always Sunny
asip,13.0,5.0,0.14923446,-0.5963511,0.12552397,Emotion,RAW,Always Sunny
asip,13.0,6.0,0.1490621,-0.7649525,0.12552397,Emotion,RAW,Always Sunny
asip,13.0,7.0,-0.25306228,1.2855523,0.12552397,Emotion,RAW,Always Sunny
asip,13.0,8.0,-1.1228622,-0.44108894,0.12552397,Emotion,RAW,Always Sunny
asip,13.0,9.0,-0.36897475,1.4347405,0.12552397,Emotion,RAW,Always Sunny
asip,13.0,10.0,-1.3074994,0.06224078,0.12552397,Emotion,RAW,Always Sunny
asip,14.0,1.0,0.23556753,-1.5743539,0.12552397,Emotion,RAW,Always Sunny
asip,14.0,2.0,0.16019195,-0.87990046,0.12552397,Emotion,RAW,Always Sunny
asip,14.0,3.0,0.38302365,-0.16459428,0.12552397,Emotion,RAW,Always Sunny
asip,14.0,4.0,-1.1874672,0.75724614,0.12552397,Emotion,RAW,Always Sunny
asip,14.0,5.0,-0.68216336,1.30382,0.12552397,Emotion,RAW,Always Sunny
asip,14.0,6.0,-1.6577657,0.35649708,0.12552397,Emotion,RAW,Always Sunny
asip,14.0,7.0,-1.6929296,1.1619699,0.12552397,Emotion,RAW,Always Sunny
asip,14.0,8.0,-1.1812624,-0.5399205,0.12552397,Emotion,RAW,Always Sunny
asip,14.0,9.0,-1.3049899,-0.1053906,0.12552397,Emotion,RAW,Always Sunny
asip,14.0,10.0,-1.5751941,0.20768373,0.12552397,Emotion,RAW,Always Sunny
asip,15.0,4.0,0.41888914,-1.5670218,0.12552397,Emotion,RAW,Always Sunny
asip,16.0,1.0,-1.4323416,0.6469839,0.12552397,Emotion,RAW,Always Sunny
asip,16.0,2.0,-1.1115288,0.7698718,0.12552397,Emotion,RAW,Always Sunny
asip,16.0,3.0,-1.6346264,0.29600027,0.12552397,Emotion,RAW,Always Sunny
asip,16.0,4.0,-0.7707767,0.9506549,0.12552397,Emotion,RAW,Always Sunny
asip,16.0,5.0,0.1514076,-0.609731,0.12552397,Emotion,RAW,Always Sunny
asip,16.0,6.0,-1.2720106,-0.35026178,0.12552397,Emotion,RAW,Always Sunny
asip,16.0,7.0,-1.4854835,1.3705759,0.12552397,Emotion,RAW,Always Sunny
asip,16.0,8.0,-1.7968863,0.75883156,0.12552397,Emotion,RAW,Always Sunny
office,1.0,1.0,0.6388924,-1.5809603,0.12552397,Emotion,RAW,The Office
office,1.0,2.0,1.1910149,-1.3569,0.12552397,Emotion,RAW,The Office
office,1.0,3.0,0.21520554,-1.4613968,0.12552397,Emotion,RAW,The Office
office,1.0,4.0,1.2990599,-0.700013,0.12552397,Emotion,RAW,The Office
office,1.0,5.0,0.97213715,-1.2206124,0.12552397,Emotion,RAW,The Office
office,1.0,6.0,0.98150164,-1.4338865,0.12552397,Emotion,RAW,The Office
office,2.0,1.0,1.2972834,-0.68026525,0.12552397,Emotion,RAW,The Office
office,2.0,2.0,1.4242644,-0.56492174,0.12552397,Emotion,RAW,The Office
office,2.0,3.0,1.3580272,-0.77148104,0.12552397,Emotion,RAW,The Office
office,2.0,4.0,0.7981298,-1.3274935,0.12552397,Emotion,RAW,The Office
office,2.0,5.0,-0.20131578,-0.7044118,0.12552397,Emotion,RAW,The Office
office,2.0,6.0,0.66564083,-1.5373006,0.12552397,Emotion,RAW,The Office
office,2.0,7.0,1.3776654,-0.9775018,0.12552397,Emotion,RAW,The Office
office,2.0,8.0,0.3549204,-1.6572742,0.12552397,Emotion,RAW,The Office
office,2.0,9.0,1.296938,-0.660903,0.12552397,Emotion,RAW,The Office
office,2.0,10.0,1.5202783,-0.7272888,0.12552397,Emotion,RAW,The Office
office,2.0,11.0,1.3870075,-0.991636,0.12552397,Emotion,RAW,The Office
office,2.0,12.0,-0.27664807,-0.73246795,0.12552397,Emotion,RAW,The Office
office,2.0,13.0,0.20839943,-1.6443907,0.12552397,Emotion,RAW,The Office
office,2.0,14.0,-0.40678975,0.4848923,0.12552397,Emotion,RAW,The Office
office,2.0,15.0,-0.3504926,-1.7548248,0.12552397,Emotion,RAW,The Office
office,2.0,16.0,1.7218641,-0.5669691,0.12552397,Emotion,RAW,The Office
office,2.0,17.0,-0.0928583,-1.7529242,0.12552397,Emotion,RAW,The Office
office,2.0,18.0,1.57192,-0.64376503,0.12552397,Emotion,RAW,The Office
office,2.0,19.0,1.5978591,-0.17218593,0.12552397,Emotion,RAW,The Office
office,2.0,20.0,0.26659334,-1.3518838,0.12552397,Emotion,RAW,The Office
office,2.0,21.0,0.16032432,-0.900005,0.12552397,Emotion,RAW,The Office
office,2.0,22.0,1.5112299,-0.882379,0.12552397,Emotion,RAW,The Office
office,3.0,1.0,0.19427735,-1.4308357,0.12552397,Emotion,RAW,The Office
office,3.0,2.0,1.4088215,-0.9629374,0.12552397,Emotion,RAW,The Office
office,3.0,3.0,1.0871495,-0.8235007,0.12552397,Emotion,RAW,The Office
office,3.0,4.0,-0.3671995,-1.7945,0.12552397,Emotion,RAW,The Office
office,3.0,5.0,0.61158013,-0.91401017,0.12552397,Emotion,RAW,The Office
office,3.0,6.0,1.4898778,-0.1936131,0.12552397,Emotion,RAW,The Office
office,3.0,7.0,-0.11078357,-1.787552,0.12552397,Emotion,RAW,The Office
office,3.0,8.0,1.4013336,-0.9912916,0.12552397,Emotion,RAW,The Office
office,3.0,9.0,0.37626705,-1.1931305,0.12552397,Emotion,RAW,The Office
office,3.0,10.0,1.5902306,-0.45680094,0.12552397,Emotion,RAW,The Office
office,3.0,12.0,0.3600941,-1.6005317,0.12552397,Emotion,RAW,The Office
office,3.0,13.0,1.6117997,-0.6500585,0.12552397,Emotion,RAW,The Office
office,3.0,14.0,1.572469,-0.6438404,0.12552397,Emotion,RAW,The Office
office,3.0,15.0,1.3532419,-1.050533,0.12552397,Emotion,RAW,The Office
office,3.0,16.0,1.2741705,0.05017084,0.12552397,Emotion,RAW,The Office
office,3.0,17.0,1.3169233,-0.44547638,0.12552397,Emotion,RAW,The Office
office,3.0,18.0,1.6976068,-0.7965871,0.12552397,Emotion,RAW,The Office
office,3.0,19.0,0.7137257,-1.3520366,0.12552397,Emotion,RAW,The Office
office,3.0,20.0,-0.55251706,-1.5059757,0.12552397,Emotion,RAW,The Office
office,3.0,21.0,0.22999027,-1.569712,0.12552397,Emotion,RAW,The Office
office,3.0,22.0,0.568519,-1.2784718,0.12552397,Emotion,RAW,The Office
office,3.0,23.0,0.55866724,-1.630165,0.12552397,Emotion,RAW,The Office
office,3.0,24.0,1.502472,-0.5048764,0.12552397,Emotion,RAW,The Office
office,4.0,1.0,-0.50488544,-1.5009166,0.12552397,Emotion,RAW,The Office
office,4.0,3.0,1.602844,-0.777872,0.12552397,Emotion,RAW,The Office
office,4.0,5.0,0.7758443,-1.3164558,0.12552397,Emotion,RAW,The Office
office,4.0,7.0,0.35751918,-1.599133,0.12552397,Emotion,RAW,The Office
office,4.0,9.0,1.5821946,-0.8057728,0.12552397,Emotion,RAW,The Office
office,4.0,10.0,0.25331888,-1.3944017,0.12552397,Emotion,RAW,The Office
office,4.0,11.0,1.7245649,-0.81275725,0.12552397,Emotion,RAW,The Office
office,4.0,12.0,0.60031945,-1.5687678,0.12552397,Emotion,RAW,The Office
office,4.0,13.0,1.3263975,-0.54583234,0.12552397,Emotion,RAW,The Office
office,4.0,14.0,-0.40072376,-1.7365326,0.12552397,Emotion,RAW,The Office
office,4.0,15.0,1.7714888,-0.8070999,0.12552397,Emotion,RAW,The Office
office,4.0,16.0,0.6261292,-1.5754724,0.12552397,Emotion,RAW,The Office
office,4.0,17.0,1.1474702,-1.3134006,0.12552397,Emotion,RAW,The Office
office,4.0,18.0,1.5513645,-0.7576687,0.12552397,Emotion,RAW,The Office
office,5.0,1.0,1.5873191,-0.7098118,0.12552397,Emotion,RAW,The Office
office,5.0,3.0,0.3593804,-1.2328889,0.12552397,Emotion,RAW,The Office
office,5.0,4.0,1.6419631,-0.45048463,0.12552397,Emotion,RAW,The Office
office,5.0,5.0,1.3389127,-0.6814535,0.12552397,Emotion,RAW,The Office
office,5.0,6.0,1.4972962,-0.48981923,0.12552397,Emotion,RAW,The Office
office,5.0,7.0,1.1597377,-0.7596319,0.12552397,Emotion,RAW,The Office
office,5.0,8.0,1.2810432,-0.6641838,0.12552397,Emotion,RAW,The Office
office,5.0,9.0,-0.6590824,0.54742956,0.12552397,Emotion,RAW,The Office
office,5.0,10.0,1.2148612,-1.3399346,0.12552397,Emotion,RAW,The Office
office,5.0,11.0,1.2222632,-0.46633545,0.12552397,Emotion,RAW,The Office
office,5.0,12.0,-0.9315377,-0.37375826,0.12552397,Emotion,RAW,The Office
office,5.0,13.0,0.16052406,-1.3573196,0.12552397,Emotion,RAW,The Office
office,5.0,14.0,-0.6046966,-1.3675941,0.12552397,Emotion,RAW,The Office
office,5.0,16.0,-0.22610363,-1.5014355,0.12552397,Emotion,RAW,The Office
office,5.0,17.0,0.072254844,0.56185985,0.12552397,Emotion,RAW,The Office
office,5.0,18.0,-0.26897416,-1.8174897,0.12552397,Emotion,RAW,The Office
office,5.0,19.0,0.83566356,-1.3039488,0.12552397,Emotion,RAW,The Office
office,5.0,20.0,1.0012392,-1.1107954,0.12552397,Emotion,RAW,The Office
office,5.0,21.0,0.9502268,-1.4048737,0.12552397,Emotion,RAW,The Office
office,5.0,22.0,0.98372567,-1.0697275,0.12552397,Emotion,RAW,The Office
office,5.0,23.0,1.0233926,-1.1266866,0.12552397,Emotion,RAW,The Office
office,5.0,24.0,0.60488,-1.269263,0.12552397,Emotion,RAW,The Office
office,5.0,25.0,0.23916903,-1.418422,0.12552397,Emotion,RAW,The Office
office,5.0,26.0,0.6046073,-1.5696949,0.12552397,Emotion,RAW,The Office
office,5.0,27.0,1.453042,-0.5673196,0.12552397,Emotion,RAW,The Office
office,5.0,28.0,1.1370785,-0.84654856,0.12552397,Emotion,RAW,The Office
office,6.0,1.0,-0.26309878,-0.7226821,0.12552397,Emotion,RAW,The Office
office,6.0,2.0,-0.19449338,-0.95241064,0.12552397,Emotion,RAW,The Office
office,6.0,3.0,0.14250349,-1.0769331,0.12552397,Emotion,RAW,The Office
